        Energy   CumulativeEnergy
      2.4142150      1880.6735
      2.4142150      1883.0877
      2.4142150      1885.5019
      2.4142150      1887.9161
      2.4142150      1890.3303
      2.4142150      1892.7446
      2.4142150      1895.1588
      2.4142150      1897.5730
      2.4142150      1899.9872
      2.4142150      1902.4014
      2.4142150      1904.8156
      2.4142150      1907.2299
      2.4142150      1909.6441
      2.4142150      1912.0583
      2.4142150      1914.4725
      2.4142150      1916.8867
      2.4142150      1919.3009
      2.4142150      1921.7151
      2.4142150      1924.1294
      2.4142150      1926.5436
      2.4142150      1928.9578
      2.4142150      1931.3720
      2.4142150      1933.7862
      2.4142150      1936.2004
      2.4142150      1938.6146
      2.4142150      1941.0289
      2.4142150      1943.4431
      2.4142150      1945.8573
      2.4142150      1948.2715
      2.4142150      1950.6857
      2.4142150      1953.0999
      2.4142150      1955.5142
      2.4142150      1957.9284
      2.4142150      1960.3426
      2.4142150      1962.7568
      2.4142150      1965.1710
      2.4142150      1967.5852
      2.4142150      1969.9994
      2.4142150      1972.4137
      2.4142150      1974.8279
      2.4142150      1977.2421
      2.4142150      1979.6563
      2.4142150      1982.0705
      2.4142150      1984.4847
      2.4142150      1986.8989
      2.4142150      1989.3132
      2.4142150      1991.7274
      2.4142150      1994.1416
      2.4142150      1996.5558
      2.4142150      1998.9700
      2.4142150      2001.3842
      2.4142150      2003.7985
      2.4142150      2006.2127
      2.4142150      2008.6269
      2.4142150      2011.0411
      2.4142150      2013.4553
      2.4142150      2015.8695
      2.4142150      2018.2837
      2.4142150      2020.6980
      2.4142150      2023.1122
      2.4142150      2025.5264
      2.4142150      2027.9406
      2.4142150      2030.3548
      2.4142150      2032.7690
      2.4142150      2035.1832
      2.4142150      2037.5975
      2.4142150      2040.0117
      2.4142150      2042.4259
      2.4142150      2044.8401
      2.4142150      2047.2543
      2.4142150      2049.6685
      2.4142150      2052.0828
      2.4142150      2054.4970
      2.4142150      2056.9112
      2.4142150      2059.3254
      2.4142150      2061.7396
      2.4142150      2064.1538
      2.4142150      2066.5680
      2.4142150      2068.9823
      2.4142150      2071.3965
      2.4142150      2073.8107
      2.4142150      2076.2249
      2.4142150      2078.6391
      2.4142150      2081.0533
      2.4142150      2083.4675
      2.4142150      2085.8818
      2.4142150      2088.2960
